TARGET,First 600m,Second 600m,Third 600m
96,74.0,72.0,70.0
97,74.75,72.75,70.75
98,75.5,73.5,71.5
99,76.25,74.25,72.25
100,77.0,75.0,73.0
101,77.75,75.75,73.75
102,78.5,76.5,74.5
103,79.25,77.25,75.25
104,80.0,78.0,76.0
105,80.75,78.75,76.75
106,81.5,79.5,77.5
107,82.25,80.25,78.25
108,83.0,81.0,79.0
109,83.75,81.75,79.75
110,84.5,82.5,80.5
111,85.25,83.25,81.25
112,86.0,84.0,82.0
113,86.75,84.75,82.75
114,87.5,85.5,83.5
115,88.25,86.25,84.25
116,89.0,87.0,85.0
117,89.75,87.75,85.75
118,90.5,88.5,86.5
119,91.25,89.25,87.25
120,92.0,90.0,88.0
121,92.75,90.75,88.75
122,93.5,91.5,89.5
123,94.25,92.25,90.25
124,95.0,93.0,91.0
125,95.75,93.75,91.75
126,96.5,94.5,92.5
127,97.25,95.25,93.25
128,98.0,96.0,94.0
129,98.75,96.75,94.75
130,99.5,97.5,95.5
131,100.25,98.25,96.25
132,101.0,99.0,97.0
133,101.75,99.75,97.75
134,102.5,100.5,98.5
135,103.25,101.25,99.25
136,104.0,102.0,100.0
137,104.75,102.75,100.75
138,105.5,103.5,101.5
139,106.25,104.25,102.25
140,107.0,105.0,103.0
141,107.75,105.75,103.75
142,108.5,106.5,104.5
143,109.25,107.25,105.25
144,110.0,108.0,106.0
145,110.75,108.75,106.75
146,111.5,109.5,107.5
147,112.25,110.25,108.25
148,113.0,111.0,109.0
149,113.75,111.75,109.75
150,114.5,112.5,110.5
151,115.25,113.25,111.25
152,116.0,114.0,112.0
153,116.75,114.75,112.75
154,117.5,115.5,113.5
155,118.25,116.25,114.25
156,119.0,117.0,115.0
157,119.75,117.75,115.75
158,120.5,118.5,116.5
159,121.25,119.25,117.25
160,122.0,120.0,118.0
161,122.75,120.75,118.75
162,123.5,121.5,119.5
163,124.25,122.25,120.25
164,125.0,123.0,121.0
165,125.75,123.75,121.75
166,126.5,124.5,122.5
167,127.25,125.25,123.25
168,128.0,126.0,124.0
169,128.75,126.75,124.75
170,129.5,127.5,125.5
171,130.25,128.25,126.25
172,131.0,129.0,127.0
173,131.75,129.75,127.75
174,132.5,130.5,128.5
175,133.25,131.25,129.25
176,134.0,132.0,130.0
177,134.75,132.75,130.75
178,135.5,133.5,131.5
179,136.25,134.25,132.25
180,137.0,135.0,133.0
181,137.75,135.75,133.75
182,138.5,136.5,134.5
183,139.25,137.25,135.25
184,140.0,138.0,136.0
185,140.75,138.75,136.75
186,141.5,139.5,137.5
187,142.25,140.25,138.25
188,143.0,141.0,139.0
189,143.75,141.75,139.75
190,144.5,142.5,140.5
191,145.25,143.25,141.25
192,146.0,144.0,142.0
193,146.75,144.75,142.75
194,147.5,145.5,143.5
195,148.25,146.25,144.25
196,149.0,147.0,145.0
197,149.75,147.75,145.75
198,150.5,148.5,146.5
199,151.25,149.25,147.25
200,152.0,150.0,148.0
201,152.75,150.75,148.75
202,153.5,151.5,149.5
203,154.25,152.25,150.25
204,155.0,153.0,151.0
205,155.75,153.75,151.75
206,156.5,154.5,152.5
207,157.25,155.25,153.25
208,158.0,156.0,154.0
209,158.75,156.75,154.75
210,159.5,157.5,155.5
211,160.25,158.25,156.25
212,161.0,159.0,157.0
213,161.75,159.75,157.75
214,162.5,160.5,158.5
215,163.25,161.25,159.25
216,164.0,162.0,160.0
217,164.75,162.75,160.75
218,165.5,163.5,161.5
219,166.25,164.25,162.25
220,167.0,165.0,163.0
221,167.75,165.75,163.75
222,168.5,166.5,164.5
223,169.25,167.25,165.25
224,170.0,168.0,166.0
225,170.75,168.75,166.75
226,171.5,169.5,167.5
227,172.25,170.25,168.25
228,173.0,171.0,169.0
229,173.75,171.75,169.75
230,174.5,172.5,170.5
231,175.25,173.25,171.25
232,176.0,174.0,172.0
233,176.75,174.75,172.75
234,177.5,175.5,173.5
235,178.25,176.25,174.25
236,179.0,177.0,175.0
237,179.75,177.75,175.75
238,180.5,178.5,176.5
239,181.25,179.25,177.25
